,moviecode,genre,nation,openyear
0,20176513,판타지,미국,2017
1,20175831,스릴러,스페인,2017
2,20174585,애니메이션,일본,2017
3,20168541,액션,프랑스,2017
4,20176628,범죄,스페인,2017
5,20174601,드라마,한국,2017
6,20174926,성인물(에로),일본,2017
7,20174925,성인물(에로),일본,2017
8,20170590,드라마,한국,2017
9,20168247,드라마,한국,2017
10,20177565,멜로/로맨스,일본,2017
11,20176625,애니메이션,일본,2017
12,20175903,액션,일본,2017
13,20175735,스릴러,미국,2017
14,20173581,미스터리,한국,2017
15,20176337,액션,중국,2017
16,20174914,성인물(에로),일본,2017
17,20171688,드라마,브라질,2017
18,20174913,성인물(에로),일본,2017
19,20167885,드라마,캐나다,2017
20,20173693,액션,미국,2017
21,20170009,범죄,프랑스,2017
22,20150976,판타지,한국,2017
23,20175604,드라마,홍콩,2017
24,20175962,액션,러시아,2017
25,20173522,액션,중국,2017
26,20177564,멜로/로맨스,일본,2017
27,20171371,멜로/로맨스,한국,2017
28,20170272,드라마,한국,2017
29,20174846,애니메이션,한국,2017
30,20178323,드라마,영국,2017
31,20175702,미스터리,미국,2017
32,20176512,멜로/로맨스,헝가리,2017
33,20176169,드라마,일본,2017
34,20176886,드라마,미국,2017
35,20176262,애니메이션,브라질,2017
36,20174663,드라마,한국,2017
37,20171369,애니메이션,러시아,2017
38,20175481,드라마,영국,2017
39,20174927,성인물(에로),일본,2017
40,20170442,기타,한국,2017
41,20176142,멜로/로맨스,미국,2017
42,20175812,애니메이션,일본,2017
43,20179462,드라마,미국,2017
44,20170964,애니메이션,스페인,2017
45,20175223,애니메이션,독일,2017
46,20177491,액션,프랑스,2017
47,20174073,애니메이션,프랑스,2017
48,20173742,다큐멘터리,미국,2017
49,20175288,애니메이션,인도,2017
50,20166322,멜로/로맨스,프랑스,2017
51,20160477,드라마,한국,2017
52,20170525,애니메이션,일본,2017
53,20174964,멜로/로맨스,일본,2017
54,20176049,드라마,프랑스,2017
55,20175245,애니메이션,스웨덴,2017
56,20162986,드라마,한국,2017
57,20174965,애니메이션,일본,2017
58,20168021,드라마,캐나다,2017
59,20161762,스릴러,한국,2017
60,20177743,기타,한국,2017
61,20164041,다큐멘터리,한국,2017
62,20177024,멜로/로맨스,한국,2017
63,20177582,멜로/로맨스,한국,2017
64,20174943,멜로/로맨스,일본,2017
65,20174923,성인물(에로),일본,2017
66,20174930,멜로/로맨스,일본,2017
67,20174932,성인물(에로),일본,2017
68,20174907,성인물(에로),일본,2017
69,20174931,멜로/로맨스,일본,2017
70,20174928,멜로/로맨스,일본,2017
71,20174933,성인물(에로),일본,2017
72,20170443,액션,미국,2017
73,20177479,애니메이션,일본,2017
74,20176022,애니메이션,미국,2017
75,20174929,멜로/로맨스,일본,2017
76,20176766,드라마,한국,2017
77,20179323,드라마,한국,2017
78,20177102,공포(호러),미국,2017
79,20173403,애니메이션,미국,2017
80,20161590,미스터리,한국,2017
81,20172702,스릴러,일본,2017
82,20170511,멜로/로맨스,대만,2017
83,20174199,스릴러,한국,2017
84,20177094,,한국,2017
85,20175384,멜로/로맨스,한국,2017
86,20179728,멜로/로맨스,한국,2017
87,20179707,멜로/로맨스,한국,2017
88,20176924,,한국,2017
89,20176660,멜로/로맨스,한국,2017
90,20175127,액션,중국,2017
91,20176659,,한국,2017
92,20178684,액션,필리핀,2017
93,20175342,공포(호러),미국,2017
94,20175966,멜로/로맨스,한국,2017
95,20176827,,한국,2017
96,20176144,멜로/로맨스,한국,2017
97,20176339,,한국,2017
98,20176288,,일본,2017
99,20176369,,일본,2017
100,20176302,,일본,2017
101,20175902,멜로/로맨스,한국,2017
102,20175790,멜로/로맨스,한국,2017
103,20176282,공포(호러),미국,2017
104,20176283,공포(호러),미국,2017
105,20172470,,한국,2017
106,20175685,기타,한국,2017
107,20174656,액션,미국,2017
108,20174589,SF,캐나다,2017
109,20175786,멜로/로맨스,한국,2017
110,20175739,멜로/로맨스,한국,2017
111,20175767,멜로/로맨스,한국,2017
112,20175740,멜로/로맨스,한국,2017
113,20162880,공연,미국,2017
114,20174699,공포(호러),미국,2017
115,20175603,판타지,미국,2017
116,20170402,액션,한국,2017
117,20174588,판타지,미국,2017
118,20174653,멜로/로맨스,한국,2017
119,20150493,드라마,미국,2017
120,20176525,액션,홍콩,2017
121,20176367,애니메이션,일본,2017
122,20170509,애니메이션,일본,2017
123,20176624,다큐멘터리,영국,2017
124,20177053,공포(호러),베네수엘라,2017
125,20175984,액션,미국,2017
126,20175388,드라마,노르웨이,2017
127,20171289,다큐멘터리,미국,2017
128,20175403,멜로/로맨스,한국,2017
129,20171684,애니메이션,독일,2017
130,20175825,액션,중국,2017
131,20175811,애니메이션,영국,2017
132,20160381,미스터리,프랑스,2017
133,20175143,드라마,헝가리,2017
134,20163906,가족,한국,2017
135,20174763,멜로/로맨스,일본,2017
136,20176604,멜로/로맨스,한국,2017
137,20173099,멜로/로맨스,한국,2017
138,20176983,애니메이션,일본,2017
139,20175624,멜로/로맨스,일본,2017
140,20160881,드라마,한국,2017
141,20175023,스릴러,프랑스,2017
142,20174863,다큐멘터리,영국,2017
143,20167324,드라마,호주,2017
144,20177468,드라마,한국,2017
145,20178581,드라마,미국,2017
146,20164854,멜로/로맨스,스웨덴,2017
147,20176082,애니메이션,독일,2017
148,20175761,드라마,인도,2017
149,20151228,액션,한국,2017
150,20151229,범죄,한국,2017
151,20162343,액션,한국,2017
152,20161481,액션,한국,2017
153,20164844,범죄,한국,2017
154,20165450,사극,한국,2017
155,20178982,드라마,한국,2017
156,20172742,범죄,한국,2017
157,20174142,코미디,한국,2017
158,20162869,드라마,한국,2017
159,20162181,범죄,한국,2017
160,20162442,액션,한국,2017
161,20175845,액션,미국,2017
162,20160465,코미디,한국,2017
163,20179442,드라마,한국,2017
164,20176261,액션,중국,2017
165,20161872,애니메이션,일본,2017
166,20175279,코미디,미국,2017
167,20173642,드라마,일본,2017
168,20175423,애니메이션,중국,2017
169,20178461,다큐멘터리,한국,2017
170,20176863,드라마,미국,2017
171,20168221,액션,미국,2017
